line,name,tail_family,score_E,cov_c_r16,cov_energy_r16,gap_e_minus_c_r16,cov_c_r32,cov_energy_r32,gap_e_minus_c_r32,cov_c_r48,cov_energy_r48,gap_e_minus_c_r48,cov_c_r64,cov_energy_r64,gap_e_minus_c_r64,cov_c_r96,cov_energy_r96,gap_e_minus_c_r96,cov_c_r128,cov_energy_r128,gap_e_minus_c_r128
55,language_model.model.layers.0.attention.wqkv,wqkv,0.0022011306961484144,0.5904056429862976,0.2729471027851105,-0.31745854020118713,0.6928519606590271,0.34960120916366577,-0.34325075149536133,0.7489319443702698,0.4025368392467499,-0.3463951051235199,0.7826308608055115,0.4451718032360077,-0.3374590575695038,0.8264699578285217,0.5125837326049805,-0.31388622522354126,0.8549713492393494,0.5657511949539185,-0.2892201542854309
55,language_model.model.layers.0.feed_forward.w1,w1,0.0985288731731875,0.01115132961422205,0.011179297231137753,2.796761691570282e-05,0.020515233278274536,0.020465508103370667,-4.972517490386963e-05,0.030625564977526665,0.02951788902282715,-0.0011076759546995163,0.039606135338544846,0.03841819241642952,-0.001187942922115326,0.057193152606487274,0.05582667142152786,-0.0013664811849594116,0.07419198006391525,0.07278282940387726,-0.0014091506600379944
55,language_model.model.layers.0.feed_forward.w2,w2,0.09859691358258091,0.019795943051576614,0.012680472806096077,-0.007115470245480537,0.03014650009572506,0.022534791380167007,-0.007611708715558052,0.040708184242248535,0.03194953501224518,-0.008758649230003357,0.050287824124097824,0.041059136390686035,-0.009228687733411789,0.0679916962981224,0.05867486074566841,-0.009316835552453995,0.08500976115465164,0.07572232186794281,-0.009287439286708832
55,language_model.model.layers.0.feed_forward.w3,w3,0.12819475844293046,0.009561467915773392,0.009230928495526314,-0.00033053942024707794,0.018647978082299232,0.018271619454026222,-0.00037635862827301025,0.02730519138276577,0.027164462953805923,-0.0001407284289598465,0.03657158091664314,0.03594221547245979,-0.0006293654441833496,0.05349225923418999,0.05317156761884689,-0.00032069161534309387,0.07018617540597916,0.07001198083162308,-0.0001741945743560791
55,language_model.model.layers.1.attention.wqkv,wqkv,0.006235140167099287,0.2219250649213791,0.056933436542749405,-0.16499162837862968,0.2969374358654022,0.09265299141407013,-0.2042844444513321,0.34549713134765625,0.12371370941400528,-0.22178342193365097,0.3838009238243103,0.1517053097486496,-0.2320956140756607,0.446159303188324,0.20172059535980225,-0.24443870782852173,0.49679240584373474,0.24560321867465973,-0.251189187169075
55,language_model.model.layers.1.feed_forward.w1,w1,0.11751770209143741,0.015270836651325226,0.013576303608715534,-0.0016945330426096916,0.02471991814672947,0.022605059668421745,-0.002114858478307724,0.033629175275564194,0.031458962708711624,-0.0021702125668525696,0.042810678482055664,0.04017092287540436,-0.002639755606651306,0.05972998961806297,0.05723883584141731,-0.0024911537766456604,0.07717832922935486,0.07390514761209488,-0.0032731816172599792
55,language_model.model.layers.1.feed_forward.w2,w2,0.12599663665969454,0.018516896292567253,0.012342484667897224,-0.006174411624670029,0.027983734384179115,0.02158067747950554,-0.006403056904673576,0.03713347017765045,0.03058294765651226,-0.006550522521138191,0.04613078385591507,0.03941789269447327,-0.006712891161441803,0.06356216967105865,0.056692324578762054,-0.0068698450922966,0.08070221543312073,0.07352789491415024,-0.0071743205189704895
55,language_model.model.layers.1.feed_forward.w3,w3,0.15667247457874042,0.008688291534781456,0.009234679862856865,0.0005463883280754089,0.017929941415786743,0.018278470262885094,0.0003485288470983505,0.02764696441590786,0.027178682386875153,-0.0004682820290327072,0.036854349076747894,0.035955097526311874,-0.0008992515504360199,0.0531453862786293,0.05318644270300865,4.1056424379348755e-05,0.07010533660650253,0.0700223445892334,-8.299201726913452e-05
55,language_model.model.layers.10.attention.wqkv,wqkv,0.040126759030248864,0.050067219883203506,0.01753374934196472,-0.032533470541238785,0.07062588632106781,0.03324716538190842,-0.03737872093915939,0.08794718235731125,0.04830807074904442,-0.03963911160826683,0.10398261994123459,0.06286463886499405,-0.04111798107624054,0.13402247428894043,0.09073974192142487,-0.043282732367515564,0.16251829266548157,0.11731813848018646,-0.045200154185295105
55,language_model.model.layers.10.feed_forward.w1,w1,0.07844761525435703,0.01379926037043333,0.010282075963914394,-0.003517184406518936,0.025239789858460426,0.01978592574596405,-0.005453864112496376,0.0354638434946537,0.02904786355793476,-0.006415979936718941,0.04536745697259903,0.038127195090055466,-0.007240261882543564,0.06486454606056213,0.055874165147542953,-0.00899038091301918,0.08268336206674576,0.07313229888677597,-0.009551063179969788
